"key","name","entity_type","cui","count"
"C1179211","Cervicothoracic junction","BIOLOGICAL_STRUCTURE","C1179211","1"
"C1179480","Peripheral lymph","BIOLOGICAL_STRUCTURE","C1179480","1"
"C1182912","Set of limb joints","BIOLOGICAL_STRUCTURE","C1182912","1"
"C1183537","Popliteal part of left knee","AREA","C1183537","1"
"C1183837","Glandular part of prostate","BIOLOGICAL_STRUCTURE","C1183837","2"
"C1185625","Anatomical compartments","AREA","C1185625","1"
"C1185714","Nucleus Pulposus","DISEASE_DISORDER","C1185714","1"
"C1186706","Bolus of ingested food","ADMINISTRATION","C1186706","1"
"C1253959","Branch of","BIOLOGICAL_STRUCTURE","C1253959","2"
"C1254595","Laboratory Results","DIAGNOSTIC_PROCEDURE","C1254595","1"
"C1254855","24 Hour Urine Protein Test","DURATION","C1254855","3"
"C1260873","Aortic valve disorder","DISEASE_DISORDER","C1260873","1"
"C1261075","Structure of right lower lobe of lung","BIOLOGICAL_STRUCTURE","C1261075","101"
"C1261077","Structure of left lower lobe of lung","BIOLOGICAL_STRUCTURE","C1261077","85"
"C1261082","Left coronary artery structure","BIOLOGICAL_STRUCTURE","C1261082","1"
"C1261316","Right coronary artery structure","BIOLOGICAL_STRUCTURE","C1261316","2"
"C1261322","Evaluation procedure","DIAGNOSTIC_PROCEDURE","C1261322","1"
"C1261381","Destructive procedure (surgical)","DISEASE_DISORDER","C1261381","12"
"C1261552","Step (specific stage)","ACTIVITY","C1261552","1"
"C1262477","Weight Loss","THERAPEUTIC_PROCEDURE","C1262477","7"
"C1262869","Body position","THERAPEUTIC_PROCEDURE","C1262869","1"
"C1264633","Fraction of","DOSAGE","C1264633","4"
"C1265996","Large cell neuroendocrine carcinoma","DISEASE_DISORDER","C1265996","2"
"C1266002","Non-small cell carcinoma","DISEASE_DISORDER","C1266002","1"
"C1266025","Traditional Serrated Adenoma","DISEASE_DISORDER","C1266025","1"
"C1268688","Heterogeneous calcification","SIGN_SYMPTOM","C1268688","1"
"C1269955","Tumor Cell Invasion","DISEASE_DISORDER","C1269955","3"
"C1271104","Blood pressure finding","DIAGNOSTIC_PROCEDURE","C1271104","4"
"C1272321","Autoantibody measurement","DIAGNOSTIC_PROCEDURE","C1272321","1"
"C1272654","Wound care management","NONBIOLOGICAL_LOCATION","C1272654","1"
"C1272705","Unsuccessful","OUTCOME","C1272705","2"
"C1274039","General surgery specialty","NONBIOLOGICAL_LOCATION","C1274039","3"
"C1274040","Result","OUTCOME","C1274040","3"
"C1275551","Every three days","FREQUENCY","C1275551","6"
"C1275631","Anal part of perineum","AREA","C1275631","1"
"C1275800","Right ventricular inflow tract view","BIOLOGICAL_STRUCTURE","C1275800","1"
"C1275813","Ratio of mitral valve acceleration time to mitral valve deceleration time","DIAGNOSTIC_PROCEDURE","C1275813","1"
"C1276414","Care of neurological patient","THERAPEUTIC_PROCEDURE","C1276414","2"
"C1277077","Irradiated blood product (product)","THERAPEUTIC_PROCEDURE","C1277077","1"
"C1279941","Late stage","SEVERITY","C1279941","1"
"C1280412","Thick","BIOLOGICAL_ATTRIBUTE","C1280412","1"
"C1280519","Effectiveness","OUTCOME","C1280519","4"
"C1282007","Pulmonary Artery Branch","BIOLOGICAL_STRUCTURE","C1282007","1"
"C1282907","Low Grade","SEVERITY","C1282907","2"
"C1282910","Upper","AREA","C1282910","3"
"C1282914","Surrounding (qualifier value)","AREA","C1282914","2"
"C1282930","Irradiation (physical force)","THERAPEUTIC_PROCEDURE","C1282930","8"
"C1283174","Checking (action)","DIAGNOSTIC_PROCEDURE","C1283174","4"
"C1285092","Gland","BIOLOGICAL_STRUCTURE","C1285092","5"
"C1285116","Right hip joint structure","BIOLOGICAL_STRUCTURE","C1285116","1"
"C1287351","Finding of liver enzyme levels","LAB_VALUE","C1287351","2"
"C1288329","Structure of lower uterine segment","BIOLOGICAL_STRUCTURE","C1288329","71"
"C1292425","2 Hours","DURATION","C1292425","3"
"C1292428","6 Hours","DURATION","C1292428","1"
"C1292732","Investigates","CLINICAL_EVENT","C1292732","1"
"C1293134","Enlargement procedure","SIGN_SYMPTOM","C1293134","1"
"C1299392","Mild to moderate","SEVERITY","C1299392","3"
"C1299393","Moderate to severe","SEVERITY","C1299393","1"
"C1299622","Empirical antibiotic therapy","MEDICATION","C1299622","3"
"C1300071","Tumor Weight","DISEASE_DISORDER","C1300071","2"
"C1301411","Regurgitant flow","SIGN_SYMPTOM","C1301411","1"
"C1302222","Parasternal long axis view","DIAGNOSTIC_PROCEDURE","C1302222","2"
"C1302301","Left ventricular area fractional change","DIAGNOSTIC_PROCEDURE","C1302301","1"
"C1302316","Subcostal long axis view","DIAGNOSTIC_PROCEDURE","C1302316","1"
"C1305372","Hilar lymph node","BIOLOGICAL_STRUCTURE","C1305372","3"
"C1314763","Phenotyping (qualifier value)","DIAGNOSTIC_PROCEDURE","C1314763","2"
"C1314939","Involvement with","DISEASE_DISORDER","C1314939","5"
"C1315058","Coagulation order set","DIAGNOSTIC_PROCEDURE","C1315058","1"
"C1317608","Perineural spread","SIGN_SYMPTOM","C1317608","2"
"C1318500","Non-toxic nodular goiter","DISEASE_DISORDER","C1318500","1"
"C1321013","Hydration status","THERAPEUTIC_PROCEDURE","C1321013","1"
"C1321164","Gynecologic Oncology","NONBIOLOGICAL_LOCATION","C1321164","1"
"C1321598","panthenol","MEDICATION","C1321598","1"
"C1325847","Sensitization (observable entity)","THERAPEUTIC_PROCEDURE","C1325847","1"
"C1332138","Acinar Pattern","DETAILED_DESCRIPTION","C1332138","1"
"C1332139","Prostate Acinar Adenocarcinoma","DISEASE_DISORDER","C1332139","1"
"C1332420","BLNK gene","DISEASE_DISORDER","C1332420","1"
"C1332629","Breast Fibrocystic Change, Proliferative Type","DISEASE_DISORDER","C1332629","1"
"C1332743","CDX2 gene","DIAGNOSTIC_PROCEDURE","C1332743","2"
"C1332897","Central Scar","BIOLOGICAL_STRUCTURE","C1332897","2"
"C1333036","Chronic Inflammatory Infiltrate","SIGN_SYMPTOM","C1333036","1"
"C1333127","Comedo Necrosis","SIGN_SYMPTOM","C1333127","2"
"C1333762","Gastric Cardia Adenocarcinoma","DISEASE_DISORDER","C1333762","1"
"C1334274","Invasive Carcinoma","DISEASE_DISORDER","C1334274","2"
"C1334936","Neoplasm of Uncertain Histogenesis","DISEASE_DISORDER","C1334936","1"
"C1335411","Cyst of pineal gland","DISEASE_DISORDER","C1335411","1"
"C1335648","RRM1 gene","DETAILED_DESCRIPTION","C1335648","3"
"C1335840","SMARCA1 gene","DIAGNOSTIC_PROCEDURE","C1335840","1"
"C1336028","Solid Growth Pattern","DETAILED_DESCRIPTION","C1336028","1"
"C1336827","Tropical Disease","DISEASE_DISORDER","C1336827","2"
"C1337479","Liquid Soap Dosage Form","MEDICATION","C1337479","1"
"C1377708","Large Bowel Juvenile Polyp","DISEASE_DISORDER","C1377708","1"
"C1378128","Cream","MEDICATION","C1378128","3"
"C1384494","Metastatic Carcinoma","DISEASE_DISORDER","C1384494","6"
"C1384616","NKX2-1 gene","LAB_VALUE","C1384616","1"
"C1384816","Idiopathic pulmonary artery dilatation","DISEASE_DISORDER","C1384816","1"
"C1409894","Sphincter","BIOLOGICAL_STRUCTURE","C1409894","1"
"C1418370","SERPINA5 gene","THERAPEUTIC_PROCEDURE","C1418370","1"
"C1418552","SERPINE2 gene","SIGN_SYMPTOM","C1418552","1"
"C1418985","PSEN1 gene","LAB_VALUE","C1418985","1"
"C1426025","SLC5A8 gene","DISEASE_DISORDER","C1426025","1"
"C1442456","2 Months","TIME","C1442456","4"
"C1442457","2 Weeks","DURATION","C1442457","4"
"C1442458","30 Minutes","DURATION","C1442458","1"
"C1442459","3 Days","DURATION","C1442459","2"
"C1442461","3 Months","DURATION","C1442461","2"
"C1442462","3 Weeks","TIME","C1442462","6"
"C1442466","5 Days","DURATION","C1442466","1"
"C1442770","24 Hours","DURATION","C1442770","2"
"C1442903","Exostoses","SIGN_SYMPTOM","C1442903","1"
"C1443271","Cervicothoracic vertebral column","BIOLOGICAL_STRUCTURE","C1443271","1"
"C1444778","Constricting sensation quality","SIGN_SYMPTOM","C1444778","1"
"C1446409","Positive","SIGN_SYMPTOM","C1446409","5"
"C1449669","Bandages, Hydrogel","THERAPEUTIC_PROCEDURE","C1449669","1"
"C1449681","Blood Pressure Monitoring, Home","DIAGNOSTIC_PROCEDURE","C1449681","1"
"C1456587","Bariatric Surgery","THERAPEUTIC_PROCEDURE","C1456587","1"
"C1456637","Blood Transfusion and Donation","NONBIOLOGICAL_LOCATION","C1456637","1"
"C1457868","Worse","OUTCOME","C1457868","1"
"C1457869","Defect","SIGN_SYMPTOM","C1457869","3"
"C1496343","Streptococcus pseudopneumoniae","OTHER_ENTITY","C1496343","1"
"C1508335","View MLO","DIAGNOSTIC_PROCEDURE","C1508335","1"
"C1508554","Carotid vessel","BIOLOGICAL_STRUCTURE","C1508554","4"
"C1508661","Pulmonary vessels","BIOLOGICAL_STRUCTURE","C1508661","1"
"C1510416","Coffee ground vomiting","SIGN_SYMPTOM","C1510416","2"
"C1510472","Drug Dependence","DISEASE_DISORDER","C1510472","6"
"C1510483","Fine needle aspiration biopsy","DIAGNOSTIC_PROCEDURE","C1510483","3"
"C1510886","Angioinvasion","SIGN_SYMPTOM","C1510886","2"
"C1510912","Anterior Portion of the Corpus Callosum Cistern","BIOLOGICAL_STRUCTURE","C1510912","1"
"C1511497","Continuous Intravenous Infusion","ADMINISTRATION","C1511497","3"
"C1511545","Critical","SEVERITY","C1511545","1"
"C1511572","event cycle","DOSAGE","C1511572","3"
"C1511606","Cystic lesions","SIGN_SYMPTOM","C1511606","5"
"C1512433","High Grade Cervical Squamous Intraepithelial Neoplasia","SEVERITY","C1512433","2"
"C1512457","High Resolution Computed Tomography","DIAGNOSTIC_PROCEDURE","C1512457","1"
"C1512823","Intercostal Artery Branch","BIOLOGICAL_STRUCTURE","C1512823","1"
"C1512855","Interlobar","BIOLOGICAL_STRUCTURE","C1512855","1"
"C1512863","Intermediate Grade","SEVERITY","C1512863","2"
"C1512910","Intra-abdominal","DISEASE_DISORDER","C1512910","1"
"C1513123","Meningothelial cell","DISEASE_DISORDER","C1513123","2"
"C1513155","Mesorectal","BIOLOGICAL_STRUCTURE","C1513155","1"
"C1513183","Metastatic Lesion","DISEASE_DISORDER","C1513183","4"
"C1513375","Moderate Exercise","ACTIVITY","C1513375","2"
"C1514211","Exophytic Polypoid Lesion","SIGN_SYMPTOM","C1514211","1"
"C1514821","Registration","CLINICAL_EVENT","C1514821","1"
"C1514893","physiologic resolution","OUTCOME","C1514893","1"
"C1515090","Surgical Oncology specialty","NONBIOLOGICAL_LOCATION","C1515090","1"
"C1515151","TE33","VOLUME","C1515151","2"
"C1516609","Clinical Endocrinology","NONBIOLOGICAL_LOCATION","C1516609","1"
"C1516620","Clinical Nutrition","NONBIOLOGICAL_LOCATION","C1516620","1"
"C1516635","Clinical Treatment","NONBIOLOGICAL_LOCATION","C1516635","2"
"C1517031","Extensive Stage","SEVERITY","C1517031","1"
"C1517331","Further","CLINICAL_EVENT","C1517331","6"
"C1517586","Investigational","DIAGNOSTIC_PROCEDURE","C1517586","1"
"C1517912","Liver Acinus Zone 2","BIOLOGICAL_STRUCTURE","C1517912","2"
"C1517936","Long-Term Care Nursing","THERAPEUTIC_PROCEDURE","C1517936","1"
"C1518005","Low Grade Cervical Squamous Intraepithelial Neoplasia","SEVERITY","C1518005","6"
"C1518345","Nodular lesions","SIGN_SYMPTOM","C1518345","4"
"C1518425","Not Otherwise Specified","DISEASE_DISORDER","C1518425","1"
"C1518495","Nutrition Monitoring","ACTIVITY","C1518495","1"
"C1518927","Pediatric Hematology/Oncology","NONBIOLOGICAL_LOCATION","C1518927","2"
"C1518965","Performance Status","DIAGNOSTIC_PROCEDURE","C1518965","1"
"C1519215","Secondary Lesion","DISEASE_DISORDER","C1519215","1"
"C1519256","Serosal Surface of the Liver","BIOLOGICAL_STRUCTURE","C1519256","2"
"C1519453","Spiculate","SHAPE","C1519453","1"
"C1521827","Preparation","MEDICATION","C1521827","1"
"C1521970","Characteristics","DIAGNOSTIC_PROCEDURE","C1521970","1"
"C1522240","Process","DISEASE_DISORDER","C1522240","3"
"C1522243","Percutaneous Route of Drug Administration","THERAPEUTIC_PROCEDURE","C1522243","1"
"C1522407","Supratentorial Brain","AREA","C1522407","1"
"C1522408","Coating (film)","SIGN_SYMPTOM","C1522408","1"
"C1522438","Subcutaneous Route of Drug Administration","ADMINISTRATION","C1522438","5"
"C1522449","Therapeutic radiology procedure","AREA","C1522449","3"
"C1522577","follow-up","DIAGNOSTIC_PROCEDURE","C1522577","6"
"C1522619","Esophageal","BIOLOGICAL_STRUCTURE","C1522619","2"
"C1522726","Intravenous Route of Drug Administration","ADMINISTRATION","C1522726","24"
"C1527180","Dominant","SIGN_SYMPTOM","C1527180","5"
"C1531518","Biological treatment","THERAPEUTIC_PROCEDURE","C1531518","1"
"C1532188","Tablespoon Dosing Unit","DOSAGE","C1532188","1"
"C1532780","mL/m2","VOLUME","C1532780","1"
"C1536105","Computed Tomography Angiography","DIAGNOSTIC_PROCEDURE","C1536105","4"
"C1542147","Main","DETAILED_DESCRIPTION","C1542147","1"
"C1545588","Protection","THERAPEUTIC_PROCEDURE","C1545588","1"
"C1546923","Correction - Report timing","THERAPEUTIC_PROCEDURE","C1546923","3"
"C1547061","10 days","DURATION","C1547061","2"
"C1547116","Patient location type - Department","NONBIOLOGICAL_LOCATION","C1547116","30"
"C1547225","Mild Severity of Illness Code","SEVERITY","C1547225","3"
"C1547251","Platelet Concentrate - blood product code","MEDICATION","C1547251","1"
"C1548982","Washed","THERAPEUTIC_PROCEDURE","C1548982","3"
"C1549003","Transfused","THERAPEUTIC_PROCEDURE","C1549003","6"
"C1550016","Remote control command - Clear","DETAILED_DESCRIPTION","C1550016","2"
"C1550235","Cord - Body Parts","BIOLOGICAL_STRUCTURE","C1550235","2"
"C1550309","Submandibular","BIOLOGICAL_STRUCTURE","C1550309","2"
"C1552443","Clinic / Center - Primary Care","NONBIOLOGICAL_LOCATION","C1552443","5"
"C1552453","Ambulatory Health Care Facilities; Clinic/Center; Rehabilitation: Cardiac Facilities","NONBIOLOGICAL_LOCATION","C1552453","16"
"C1552775","Otorhinolaryngology clinic","NONBIOLOGICAL_LOCATION","C1552775","1"
"C1552811","Urology clinic (surgery clinic)","NONBIOLOGICAL_LOCATION","C1552811","12"
"C1552873","Narrower Than","SIGN_SYMPTOM","C1552873","1"
"C1553211","Enema, rectal","THERAPEUTIC_PROCEDURE","C1553211","1"
"C1561552","Act Priority - elective","THERAPEUTIC_PROCEDURE","C1561552","1"
"C1609982","Residual","DETAILED_DESCRIPTION","C1609982","1"
"C1610733","Urine - SpecimenType","BIOLOGICAL_STRUCTURE","C1610733","1"
"C1621425","cribriform","DETAILED_DESCRIPTION","C1621425","2"
"C1621958","Glioblastoma Multiforme","DISEASE_DISORDER","C1621958","1"
"C1622967","cell periphery","AREA","C1622967","2"
"C1696103","image - dosage form","DIAGNOSTIC_PROCEDURE","C1696103","1"
"C1704221","Physicians, Family","NONBIOLOGICAL_LOCATION","C1704221","1"
"C1704247","Peritoneal Cavity","BIOLOGICAL_STRUCTURE","C1704247","1"
"C1704322","Orientation (spatial)","SIGN_SYMPTOM","C1704322","1"
"C1704407","Arabic numeral 100","DOSAGE","C1704407","4"
"C1704440","Geriatric (qualifier)","THERAPEUTIC_PROCEDURE","C1704440","1"
"C1704532","Active Method","THERAPEUTIC_PROCEDURE","C1704532","2"
"C1704534","Positional Technique","THERAPEUTIC_PROCEDURE","C1704534","1"
"C1704729","Department","NONBIOLOGICAL_LOCATION","C1704729","5"
"C1705057","Circumferential Resection Margin","BIOLOGICAL_STRUCTURE","C1705057","3"
"C1705822","Transfer Technique","THERAPEUTIC_PROCEDURE","C1705822","1"
"C1707491","Consecutive","DURATION","C1707491","2"
"C1707520","Correlation","SIGN_SYMPTOM","C1707520","1"
"C1708548","Intestinal Wall Tissue","BIOLOGICAL_STRUCTURE","C1708548","3"
"C1708664","Leaflet Device","SHAPE","C1708664","6"
"C1708745","Low-Dose Treatment","DIAGNOSTIC_PROCEDURE","C1708745","7"
"C1709160","Neoplastic","DISEASE_DISORDER","C1709160","5"
"C1709318","Oncotype DX Breast Cancer Assay","DIAGNOSTIC_PROCEDURE","C1709318","2"
"C1709367","Oval shape","SHAPE","C1709367","10"
"C1709518","Pharmacodynamic Study","DIAGNOSTIC_PROCEDURE","C1709518","2"
"C1709763","Psychiatric Facility","NONBIOLOGICAL_LOCATION","C1709763","2"
"C1710016","Satellite Nodule","DISEASE_DISORDER","C1710016","2"
"C1710057","Serrated Glandular Architecture","SIGN_SYMPTOM","C1710057","1"
"C1710082","Signal","SIGN_SYMPTOM","C1710082","3"
"C1711128","pT1a Stage Finding","LAB_VALUE","C1711128","1"
"C1720786","Antibiogram","DIAGNOSTIC_PROCEDURE","C1720786","1"
"C1720798","Radiation-Recall Dermatitis","DISEASE_DISORDER","C1720798","6"
"C1721086","Surgical Fixation Devices","THERAPEUTIC_PROCEDURE","C1721086","2"
"C1762617","Weak","SIGN_SYMPTOM","C1762617","3"
"C1822765","SLC45A3 gene","LAB_VALUE","C1822765","1"
"C1827384","Structure of permanent mandibular left central incisor tooth","DISTANCE","C1827384","1"
"C1827665","Structure of permanent mandibular right central incisor tooth","VOLUME","C1827665","4"
"C1828004","Magill forceps, device","OTHER_ENTITY","C1828004","4"
"C1833181","Raised C-reactive protein","SIGN_SYMPTOM","C1833181","1"
"C1837732","Thickened helices","SIGN_SYMPTOM","C1837732","2"
"C1851759","ELECTROENCEPHALOGRAPHIC VARIANT PATTERN 1 (disorder)","DETAILED_DESCRIPTION","C1851759","1"
"C1856053","Hydranencephaly with Renal Aplasia-Dysplasia","DATE","C1856053","7"
"C1861329","Spinal canal stenosis","DISEASE_DISORDER","C1861329","1"
"C1862393","ASD II","DISEASE_DISORDER","C1862393","1"
"C1868677","PHOTOPAROXYSMAL RESPONSE 1","LAB_VALUE","C1868677","1"
"C1879510","AI Regimen","MEDICATION","C1879510","1"
"C1879707","Anterior Foramen Magnum","BIOLOGICAL_STRUCTURE","C1879707","1"
"C1880268","Material Deformation","SIGN_SYMPTOM","C1880268","1"
"C1880476","Etoposide-Platinol Regimen","MEDICATION","C1880476","1"
"C1881065","Homogeneity","TEXTURE","C1881065","14"
"C1882138","ocrelizumab","MEDICATION","C1882138","1"
"C1882425","Poor Quality Image","DETAILED_DESCRIPTION","C1882425","1"
"C1882428","Post-Therapy","SIGN_SYMPTOM","C1882428","2"
"C1882954","Ring Dosing Unit","DOSAGE","C1882954","2"
"C1883171","Stir","DIAGNOSTIC_PROCEDURE","C1883171","1"
"C1883259","Taxotere-Platinol-Fluorouracil Regimen","MEDICATION","C1883259","2"
"C1947930","Cleaning (activity)","THERAPEUTIC_PROCEDURE","C1947930","1"
"C1947933","care activity","THERAPEUTIC_PROCEDURE","C1947933","13"
"C1947976","Correction (change)","THERAPEUTIC_PROCEDURE","C1947976","1"
"C1955856","Surgical Stoma","BIOLOGICAL_STRUCTURE","C1955856","1"
"C1956050","Rats, Hairless","SIGN_SYMPTOM","C1956050","1"
"C1956089","Osteophyte","SIGN_SYMPTOM","C1956089","2"
"C1956261","Cerebral Venous Angioma","DISEASE_DISORDER","C1956261","1"
"C1960973","Home oxygen therapy","THERAPEUTIC_PROCEDURE","C1960973","4"
"C1961205","Scissors, Wound Debridement","THERAPEUTIC_PROCEDURE","C1961205","2"
"C1961548","Metallic suture","OTHER_ENTITY","C1961548","1"
"C1998045","Subclinical hyperthyroidism","DISEASE_DISORDER","C1998045","1"
"C1998602","Meal (occasion for eating)","ACTIVITY","C1998602","2"
"C1999269","Building structure","NONBIOLOGICAL_LOCATION","C1999269","1"
"C2003903","Profiling (action)","DIAGNOSTIC_PROCEDURE","C2003903","3"
"C2004489","Regurgitation","SIGN_SYMPTOM","C2004489","11"
"C2041478","CT of abdomen without contrast","DIAGNOSTIC_PROCEDURE","C2041478","1"
"C2062763","Benzodiazepine abuse","DISEASE_DISORDER","C2062763","1"
"C2230206","Vision Assessment","CLINICAL_EVENT","C2230206","2"
"C2259071","regulation of body fluid levels","SIGN_SYMPTOM","C2259071","3"
"C2262860","annulus","BIOLOGICAL_STRUCTURE","C2262860","1"
"C2316467","Packed red blood cells","MEDICATION","C2316467","9"
"C2323733","Right globus pallidus","BIOLOGICAL_STRUCTURE","C2323733","1"
"C2327334","Left retropharyngeal lymph node","BIOLOGICAL_STRUCTURE","C2327334","1"
"C2348041","Diffusion Anisotropy","DIAGNOSTIC_PROCEDURE","C2348041","2"
"C2348234","Specialist Physician","NONBIOLOGICAL_LOCATION","C2348234","1"
"C2348813","Transabdominal Ultrasound","DIAGNOSTIC_PROCEDURE","C2348813","3"
"C2348831","Two Hundred Fifty","VOLUME","C2348831","2"
"C2349809","Excessive physical exertion","ACTIVITY","C2349809","1"
"C2349975","Enhance (action)","SIGN_SYMPTOM","C2349975","6"
"C2353951","dapagliflozin","MEDICATION","C2353951","2"
"C2362761","Inpatient hospital","NONBIOLOGICAL_LOCATION","C2362761","3"
"C2362912","Moving and Lifting Patients","THERAPEUTIC_PROCEDURE","C2362912","1"
"C2607383","Octenisept","MEDICATION","C2607383","1"
"C2610480","trabecula formation","SIGN_SYMPTOM","C2610480","1"
"C2674297","Lymphocytic inflammatory infiltrate","SIGN_SYMPTOM","C2674297","1"
"C2697906","Left Posterolateral Segment","BIOLOGICAL_STRUCTURE","C2697906","1"
"C2699744","Symmetric Relationship","DETAILED_DESCRIPTION","C2699744","4"
"C2700395","Smallest","SEVERITY","C2700395","1"
"C2733564","Full thickness hole of macula lutea","DISEASE_DISORDER","C2733564","2"
"C2825055","Recurrence (disease attribute)","DISEASE_DISORDER","C2825055","1"
"C2825166","Stress Cardiac Magnetic Resonance Imaging","DIAGNOSTIC_PROCEDURE","C2825166","1"
"C2826108","Restricted Diffusion","SIGN_SYMPTOM","C2826108","2"
"C2827061","Clinical Laboratory Improvement Act","OUTCOME","C2827061","1"
"C2827364","Attendance","CLINICAL_EVENT","C2827364","1"
"C2828394","Prenatal (temporal qualifier)","THERAPEUTIC_PROCEDURE","C2828394","1"
"C2923055","Video assisted thoracoscopy","THERAPEUTIC_PROCEDURE","C2923055","2"
"C2924624","Sinotubular Junction","BIOLOGICAL_STRUCTURE","C2924624","2"
"C2930544","Low-Calorie Diet","THERAPEUTIC_PROCEDURE","C2930544","1"
"C2931822","Nasopharyngeal carcinoma","DISEASE_DISORDER","C2931822","4"
"C2936173","Percutaneous Transluminal Coronary Angioplasty","THERAPEUTIC_PROCEDURE","C2936173","2"
"C2937276","Slight (qualifier value)","SEVERITY","C2937276","27"
"C2939419","Secondary Neoplasm","DISEASE_DISORDER","C2939419","5"
"C2959359","Abnormal ventriculoarterial connection","BIOLOGICAL_STRUCTURE","C2959359","1"
"C2984063","Microgram per Fifteen Milliliters","VOLUME","C2984063","2"
"C2985231","Body Weight Measurement","DIAGNOSTIC_PROCEDURE","C2985231","2"
"C2985747","Contrast Agent Enhancement Indicator","SIGN_SYMPTOM","C2985747","1"
"C2986411","Improvement","OUTCOME","C2986411","9"
"C2987487","Deficit","SIGN_SYMPTOM","C2987487","1"
"C2987716","vismodegib","MEDICATION","C2987716","1"
"C3-C6","C3-C6","BIOLOGICAL_STRUCTURE","","2"
"C3/C4 level","C3/C4 level","BIOLOGICAL_STRUCTURE","","1"
"C3146289","Anatomic bifurcation","BIOLOGICAL_STRUCTURE","C3146289","1"
"C3159055","horizontal cell localization","SIGN_SYMPTOM","C3159055","1"
"C3159309","Xarelto","MEDICATION","C3159309","1"
"C3160856","Endobronchial Ultrasound Bronchoscopy","DIAGNOSTIC_PROCEDURE","C3160856","1"
"C3160897","Opioid-Induced Constipation","MEDICATION","C3160897","1"
"C3163961","Dysplastic nodule","DISEASE_DISORDER","C3163961","1"
"C3164124","Foam dressing","MEDICATION","C3164124","8"
"C3171718","2 minutes","DURATION","C3171718","2"
"C3178761","Chemoradiotherapy, Adjuvant","THERAPEUTIC_PROCEDURE","C3178761","2"
"C3179010","Induction Chemotherapy","MEDICATION","C3179010","3"
"C3179046","Inlets (geographic)","AREA","C3179046","1"
"C3179392","Vascular Medicine","NONBIOLOGICAL_LOCATION","C3179392","2"
"C3203653","IgG4-Related Sclerosing Disease","DISEASE_DISORDER","C3203653","1"
"C3242229","ineffective","SIGN_SYMPTOM","C3242229","2"
"C3242272","Condition improved","OUTCOME","C3242272","1"
"C3245508","negative resolution <retracted>","SHAPE","C3245508","1"
"C3251803","Hemodynamic care","NONBIOLOGICAL_LOCATION","C3251803","1"
"C3263722","Traumatic AND/OR non-traumatic injury","DISEASE_DISORDER","C3263722","2"
"C3266201","Primary dressing","THERAPEUTIC_PROCEDURE","C3266201","1"
"C3266202","Secondary dressing","THERAPEUTIC_PROCEDURE","C3266202","1"
"C3272300","Pre-Procedure","DETAILED_DESCRIPTION","C3272300","1"
"C3272686","FIGO Stage IIIC1","SEVERITY","C3272686","1"
"C3275086","Home Hospice","NONBIOLOGICAL_LOCATION","C3275086","1"
"C3280788","Aortic isthmus stenosis","DISEASE_DISORDER","C3280788","1"
"C3494912","Dry dressing, device","THERAPEUTIC_PROCEDURE","C3494912","1"
"C3495801","Granulomatosis with polyangiitis","DISEASE_DISORDER","C3495801","1"
"C3498505","Trigeminal cave","BIOLOGICAL_STRUCTURE","C3498505","1"
"C3509486","Transcatheter Aortic Valve Replacement","THERAPEUTIC_PROCEDURE","C3509486","1"
"C3530466","Eliquis","MEDICATION","C3530466","2"
"C3532942","Mixed Dementias","DISEASE_DISORDER","C3532942","2"
"C3536731","Massage Therapy","NONBIOLOGICAL_LOCATION","C3536731","2"
"C3538928","Usual","SHAPE","C3538928","1"
"C3540014","CENTRAL NERVOUS SYSTEM DIAGNOSTIC RADIOPHARMACEUTICALS","BIOLOGICAL_STRUCTURE","C3540014","2"
"C3640834","Atrial Couplet by ECG Finding","SIGN_SYMPTOM","C3640834","1"
"C3640899","Short QTc Interval","DIAGNOSTIC_PROCEDURE","C3640899","3"
"C3641222","Very good (qualifier value)","OUTCOME","C3641222","1"
"C3665783","Obstructive shock","DISEASE_DISORDER","C3665783","1"
"C3686502","Mucosal thickening","SIGN_SYMPTOM","C3686502","7"
"C3698318","Marginal osteophyte","SIGN_SYMPTOM","C3698318","2"
"C3715152","Fourteen","QUANTITATIVE_CONCEPT","C3715152","1"
"C3715153","Fifteen","QUANTITATIVE_CONCEPT","C3715153","1"
"C3715181","Hypertension clinic","NONBIOLOGICAL_LOCATION","C3715181","1"
"C3715205","Plastic surgery clinic","NONBIOLOGICAL_LOCATION","C3715205","1"
"C3715206","Eighteen","LAB_VALUE","C3715206","2"
"C3810855","Endocrinology clinic","NONBIOLOGICAL_LOCATION","C3810855","4"
"C3810868","Proctology clinic","NONBIOLOGICAL_LOCATION","C3810868","1"
"C3810869","Sports medicine clinic","NONBIOLOGICAL_LOCATION","C3810869","1"
"C3811912","Psychology clinic","NONBIOLOGICAL_LOCATION","C3811912","1"
"C3812390","Dermatology clinic","NONBIOLOGICAL_LOCATION","C3812390","3"
"C3812871","Rheumatology clinic","NONBIOLOGICAL_LOCATION","C3812871","1"
"C3814448","Low Anterior Resection","BIOLOGICAL_STRUCTURE","C3814448","1"
"C3814531","Nephrology clinic","NONBIOLOGICAL_LOCATION","C3814531","5"
"C3814532","Neurology clinic","NONBIOLOGICAL_LOCATION","C3814532","5"
"C3814533","Hand surgery - surgical specialty","NONBIOLOGICAL_LOCATION","C3814533","1"
"C3814800","Grade X","SEVERITY","C3814800","1"
"C3816446","Thirty","DISTANCE","C3816446","3"
